player,year,round,elo,elo_new
b nelson,1948,r1,1611.946500940614,1521.9182018056943
h todd,1948,r1,1505.7671603281506,1515.2051063834438
h keiser,1948,r1,1498.1145429410938,1528.631297227945
b locke,1948,r1,1522.7270045734592,1521.9182018056943
d metz,1948,r1,1563.8129424976569,1521.9182018056943
j bulla,1948,r1,1561.030913078726,1501.7789155389426
e harrison,1948,r1,1517.3700403899734,1508.492010961193
s riegel,1948,r1,1419.1729899504842,1521.9182018056943
a smith,1948,r1,1500,1508.492010961193
s snead,1948,r1,1547.3897851409574,1501.7789155389426
j demaret,1948,r1,1629.2904743682552,1508.492010961193
e dudley,1948,r1,1514.0513208395575,1508.492010961193
v ghezzi,1948,r1,1508.0390174926476,1495.0658201166918
f haas jr,1948,r1,1565.8066507174567,1495.0658201166918
b hamilton,1948,r1,1483.6723864623657,1515.2051063834438
a bell,1948,r1,1500,1521.9182018056943
g sarazen,1948,r1,1473.256258002594,1481.6396292721906
h barron,1948,r1,1570.3492482900433,1508.492010961193
h cotton,1948,r1,1500,1515.2051063834438
h picard,1948,r1,1566.9107458115084,1508.492010961193
j palmer,1948,r1,1569.6742810678256,1495.0658201166918
e vines,1948,r1,1506.5247640156829,1488.3527246944413
m ward,1948,r1,1456.9482922752863,1501.7789155389426
l worsham,1948,r1,1541.11154688201,1501.7789155389426
d shute,1948,r1,1521.0739919647806,1501.7789155389426
h mcspaden,1948,r1,1571.4406442893037,1481.6396292721906
h smith,1948,r1,1551.2574145612823,1474.92653384994
s alexander,1948,r1,1500,1481.6396292721906
r guldahl,1948,r1,1322.0465971118485,1495.0658201166918
k laffoon,1948,r1,1497.5905509345512,1501.7789155389426
j mchale jr,1948,r1,1500,1474.92653384994
f torza,1948,r1,1500,1495.0658201166918
r chapman,1948,r1,1559.9580133248644,1501.7789155389426
c harper,1948,r1,1511.2501972380876,1488.3527246944413
l little jr,1948,r1,1567.0183051320114,1508.492010961193
b burke,1948,r1,1324.8054240085544,1495.0658201166918
l gibson,1948,r1,1409.912445065042,1515.2051063834438
c wood,1948,r1,1366.1938655424597,1481.6396292721906
t penna,1948,r1,1581.4853836173982,1481.6396292721906
s byrd,1948,r1,1475.7912506286011,1434.6479613164363
j farrell,1948,r1,1364.666926573505,1501.7789155389426
b nary,1948,r1,1500,1501.7789155389426
r jones jr,1948,r1,1400.3269972057426,1488.3527246944413
a kammer,1948,r1,1500,1474.92653384994
e ward jr,1948,r1,1500,1474.92653384994
b rosburg,1948,r1,1500,1468.2134384276894
j selby,1948,r1,1500,1454.7872475831882
g kunes,1948,r1,1482.6821239739998,1501.7789155389426
g hamer,1948,r1,1408.0246552262724,1481.6396292721906
j kirkwood,1948,r1,1452.0199750194329,1474.92653384994
c harmon,1948,r1r2,1528.631297227945,1563.2345814240523
c middlecoff,1948,r1r2,1501.7789155389426,1516.7025419437778
c harbert,1948,r1r2,1521.9182018056943,1552.5855242906703
j ferrier,1948,r1r2,1521.9182018056943,1548.6497100425152
l mangrum,1948,r1r2,1535.3443926501957,1562.0761963683844
e furgol,1948,r1r2,1528.631297227945,1555.3629529277418
b hogan,1948,r1r2,1528.631297227945,1559.298767175897
b nelson,1948,r1r2,1521.9182018056943,1540.7780815462047
h todd,1948,r1r2,1515.2051063834438,1553.74391045405
h keiser,1948,r1r2,1528.631297227945,1555.3629529277418
b locke,1948,r1r2,1521.9182018056943,1548.6497100425152
d metz,1948,r1r2,1521.9182018056943,1544.7138957943598
j bulla,1948,r1r2,1501.7789155389426,1512.7667276956226
e harrison,1948,r1r2,1508.492010961193,1503.7367119406094
s riegel,1948,r1r2,1521.9182018056943,1536.8422672980494
a smith,1948,r1r2,1508.492010961193,1519.4799689332306
s snead,1948,r1r2,1501.7789155389426,1500.9592849511569
j demaret,1948,r1r2,1508.492010961193,1523.4157831813857
e dudley,1948,r1r2,1508.492010961193,1507.6725261887648
v ghezzi,1948,r1r2,1495.0658201166918,1498.1818585047777
f haas jr,1948,r1r2,1495.0658201166918,1490.3102300084672
b hamilton,1948,r1r2,1515.2051063834438,1534.0648392132737
a bell,1948,r1r2,1521.9182018056943,1536.8422672980494
g sarazen,1948,r1r2,1481.6396292721906,1472.9479359883737
h barron,1948,r1r2,1508.492010961193,1503.7367119406094
h cotton,1948,r1r2,1515.2051063834438,1530.1290249651183
h picard,1948,r1r2,1508.492010961193,1519.4799689332306
j palmer,1948,r1r2,1495.0658201166918,1498.1818585047777
e vines,1948,r1r2,1488.3527246944413,1495.4044325984441
m ward,1948,r1r2,1501.7789155389426,1504.8950991993122
l worsham,1948,r1r2,1501.7789155389426,1489.1518422066913
d shute,1948,r1r2,1501.7789155389426,1508.8309134474673
h mcspaden,1948,r1r2,1481.6396292721906,1469.0121217402186
h smith,1948,r1r2,1474.92653384994,1466.2346969049802
s alexander,1948,r1r2,1481.6396292721906,1476.883750236529
r guldahl,1948,r1r2,1495.0658201166918,1478.5027872640017
k laffoon,1948,r1r2,1501.7789155389426,1500.9592849511569
j mchale jr,1948,r1r2,1474.92653384994,1466.2346969049802
f torza,1948,r1r2,1495.0658201166918,1498.1818585047777
r chapman,1948,r1r2,1501.7789155389426,1497.0234707030017
c harper,1948,r1r2,1488.3527246944413,1475.725361357668
l little jr,1948,r1r2,1508.492010961193,1503.7367119406094
b burke,1948,r1r2,1495.0658201166918,1490.3102300084672
l gibson,1948,r1r2,1515.2051063834438,1514.3857679724974
c wood,1948,r1r2,1481.6396292721906,1449.3330504994424
t penna,1948,r1r2,1481.6396292721906,1457.2046789957528
s byrd,1948,r1r2,1434.6479613164363,1394.4687594702295
j farrell,1948,r1r2,1501.7789155389426,1481.2802137103808
b nary,1948,r1r2,1501.7789155389426,1485.216027958536
r jones jr,1948,r1r2,1488.3527246944413,1456.046290116892
a kammer,1948,r1r2,1474.92653384994,1458.3630684086697
e ward jr,1948,r1r2,1474.92653384994,1446.5556256642042
b rosburg,1948,r1r2,1468.2134384276894,1424.0991301192844
j selby,1948,r1r2,1454.7872475831882,1422.480097340699
g kunes,1948,r1r2,1501.7789155389426,1497.0234707030017
g hamer,1948,r1r2,1481.6396292721906,1457.2046789957528
j kirkwood,1948,r1r2,1474.92653384994,1450.4914399123593
c harmon,1948,r1r3,1563.2345814240523,1606.9054852143063
c middlecoff,1948,r1r3,1516.7025419437778,1546.3503066916815
c harbert,1948,r1r3,1552.5855242906703,1590.6473464681876
j ferrier,1948,r1r3,1548.6497100425152,1569.884914445469
l mangrum,1948,r1r3,1562.0761963683844,1583.3117007328365
e furgol,1948,r1r3,1555.3629529277418,1582.2071503872796
b hogan,1948,r1r3,1559.298767175897,1577.729787623157
b nelson,1948,r1r3,1540.7780815462047,1564.8175328211714
h todd,1948,r1r3,1553.74391045405,1569.370385039375
